Feature,Importance
age,0.0865306004135952
sex,0.03374764868622504
cp,0.1720266317008461
trestbps,0.0702038843826552
chol,0.06869706725116652
fbs,0.008877882520002517
restecg,0.024734077600064876
thalach,0.16088481916906341
exang,0.04142863266404556
oldpeak,0.14235156281154285
slope,0.03980594639591828
ca,0.07694270006912447
thal,0.07376854633575006
